P0,#1P1500#2P1500#3P1500#4P1450
D0,#1P1500#2P1600#3P1400#4P1600
D1,#1P1600#2P1200#3P2200#4P900
D2,#1P1600#2P1000#3P2300#4P800
R1,#1P2030#2P1000#3P2300#4P800
P1,#1P2000#2P1000#3P2300#4P800
P2,#1P1700#2P1000#3P2300#4P800
P3,#1P1300#2P1000#3P2300#4P800
P4,#1P1050#2P1000#3P2300#4P800
P5,#1P982#2P1000#3P2300#4P800
S1,#2P950#3P2100#4P950
SB1,#2P1000
S2,#2P950#3P2100#4P950
SB2,#2P1000
S3,#2P950#3P2100#4P950
SB3,#2P1000
S4,#2P950#3P2100#4P950
SB4,#2P1000
S5,#2P950#3P2100#4P950
SB5,#2P1000
P6,#1P982#2P1153#3P2449#4P822
D3,#1P821#2P1153#3P2449#4P822
S6,#1P821#2P1016#3P2352#4P822
D4,#1P821#2P1500#3P2352#4P822
D4I,#1P2030#2P1500#3P748#4P2297
D3I,#1P2100#2P1649#3P625#4P1991
S6I,#1P2100#2P1827#3P521#4P2175
P7,#1P1938#2P1649#3P625#4P1905
P8,#1P1887#2P1732#3P625#4P1965
L1,#1P1525#2P1926#3P1089#4P1670
L2,#1P1404#2P1950#3P1130#4P1670
L3,#1P1320#2P1917#3P1093#4P1738
PL1,#1P1525#2P1732#3P625#4P1965
PL2,#1P1412#2P1732#3P625#4P1965
PL3,#1P1313#2P1732#3P625#4P1965
grab,#6P1450
release,#6P1350